qID,Category,Choice,CorrectAnswer,IsCorrectAnswer,IsWrongAnswer,Marked,Question,UserHasNotResponded,explanationURL,futureOption,futureOption1,futureOption2,futureOption3,futureOption4
8vMPvwz34Z8nCHsz3flS,Logic,"['A is heavier than B', 'There were apples and cottons in the two bags', 'The bags were stolen by Kezang', 'Kezang is the thieve in above incidence ']",0,False,False,False,"Kezang stole two bags from a shop in Thimphu. One bag, A, contains a kilogram of apple while the other, bag B, contains a kilogram of cotton. Which statement below is NOT true?",True,,,,,,
90aaMi8ondil6CJbtqBi,Algebra,"[' 40.12°C', ' 38.34°C', ' 37.75°C', ' 38.23˚C']",2,False,False,False," The temperature in Jalandhar on August 14, 2014, was noted as 34°C at 9am, 39°C at 12pm in the afternoon, 37°C at 5pm and finally 41°C at 10pm at night. What was the average temperature in Jalandhar on the same day?",True,,,,,,
94LaoemTPDrKZN4WbxHN,Fraction,"['Percent decrease is less than the percent increase', 'Percent decrease is more than the percent increase', 'Percent increase is less than the percent increase', 'None of the above']",0,False,False,False,A number increases from 20 to 30 and then decreases from 30 to 20. Compare the percent of increase from 20 to 30 and that of the decrease from 30 to 20. From the following which of the following statement is true:,True,,,,,,
9Wzx1NVAkwK4cbk3AvkT,Algebra,"[' 10', ' 11', ' 13', ' 16']",1,False,False,False," In a night party of 59 persons, 30 are dancing while 23 are drinking. 5 of them are dancing and drinking at the same time. Find the number of persons who are neither drinking nor dancing.",True,,,,,,
9eAvVJf4gUTGUk49Wzyc,Logic,"[' When the object is immersed in the water the water absorbs some of the weight of the object. Thus the weight of the object decreases.', ' When an object is immersed in water some weight of the object is lost on the surface of the water thereby reducing the weight of the object in water.', ' When an object is immersed in water the gravitational force of the earth acts in the opposite direction that is upward force.', ' When an object is immersed in water it experiences an upward thrust']",3,False,False,False," When a heavy object is lifted under water, it is easier to lift than lifting the same object in the air. Which of the following provides the best reason for this?",True,,,,,,
A86Yc3mGQSMIxNhC7vwk,Fraction,"[' Nu. 40', ' Nu. 140', ' Nu. 60', ' Nu. 160']",3,False,False,False, Nu. 100 shares are being sold at a premium of 60% by a company. The price to be paid by a subscriber is:,True,,,,,,
A8SdjByLD9EuSI8qBgyN,Logic,"[' 15:00 hours', ' 16:00 hours', ' 17:00 hours', ' 18:00 hours']",0,False,False,False, A landmark in North America passes through a longitude of 450 West and has a local time of 7:00 hours. What will be the time in Paro fortress in Bhutan in 24 hours format?,True,,,,,,
A93OToZ0xdG9npKIjiMM,Logic,"[' 94', ' 100', ' 102', ' 104']",2,False,False,False," If 2, 3=10 and 3,5=24 and 4, 7=44 and 5,9=70 then 6, 11=.........",True,,,,,,
AAwl6f0pr52L7qDcvx1k,Fraction,"['30%', '25%', '20%', '15%']",0,False,False,False,"Bumthang is located in Central Bhutan and some Bumthaps (people of Bumthang) can speak Sharchop and some can speak Khengkha. If 70% of Bumthaps speaks Sharchop and 60% of Bumthaps speaks Khengkha, what is the minimum percentage of Khengkha speaking Bumthaps that also speak Sharchop?",True,,,,,,
Aw0ldmN9OlgRv9eIgK3h,Logic,"['Karma weighs more than Dorji.', 'Sonam weighs less than Karma.', 'Dorji weighs more than Karma.', 'Dorji is the lightest of all.']",2,False,False,False,Karma is heavier than Sonam. Dorji weighs less than Sonam. Dawa is heavier than Dorji but lighter than Sonam. Which of the following statements is NOT true?,True,,,,,,
B4gGmvEv28v0zz81XUie,Fraction,"[' 20%', ' 10%', ' 30%', ' 25%']",1,False,False,False," A mountain bike costs Nu. 25,000. Pempa rode the cycle and while going home he damaged the front wheel by hitting it to a big stone. To repair, he paid Nu. 2500. What Fraction of the total cost of the cycle did he pay for repairing?",True,,,,,,
BUYJDgU6whQ8c97qjMUv,Logic,"['O', 'M', 'P', 'Q']",0,False,False,False,What is the missing letter: A F D I G L J ___,True,,,,,,
CH94Nh9KoKi8gvuDR17G,Logic,"[' 180', ' 12', ' 270', ' 9']",2,False,False,False, The hour-hand of a clock is at 3. It gradually moves and reaches 12. The angular measurement in degree of the movement of the hand is:,True,,,,,,
Cf6AdeP2bg1HhqlXAWcj,Probability,"['10', '20', '30', '40']",1,False,False,False,"Five teams from Thimphu’s Schools are participating in a Summer School Football League. If each team plays the other teams 2 times, the total number of games the League will play is …",True,,,,,,
Cg8IGhAidiB9hImGXo2k,Logic,"['424', '28', '226', '622']",2,False,False,False,Name the 3-digit number. My ones digit is an even number which is three times as much as my tens digit. My tens digit is the same as my hundreds digit. The sum of all my digits is 10. Which number am I?,True,,,,,,
CmEL12Sn38WfqRNGHXzm,Logic,"['I only', 'II only', 'II and III only', 'None of the statements is a known fact']",3,False,False,False,"Read the statements given below and answer the question that follows. Fact 1: Tissot watches cost between Nu. 1000 and Nu. 10,000. Fact 2: Some Tissot watches have Titanium frames. Fact 3: Some Tissot watches have steel frames. If the above three statements are facts, which of the following statements must also be a fact? I. Tissot watches with Titanium frames cost more than the one with steel frames. II. Expensive Tissot watches last longer than cheap ones. III. Only a few Tissot watches cost less than Nu. 1000.",True,,,,,,
DRmnnkdq59plDZputk0M,Logic,"[' Country', ' Ocean', ' Flower', ' Profession']",3,False,False,False," If you unscramble the letters ETAHRCE, you will get the name of a:",True,,,,,,
DSQTTGqXLTO5QIIRI6b7,Logic,"['Defender A', 'Defender B', 'Defender C', 'Defender D']",3,False,False,False,"Four defenders in a football match — Defender A, Defender B, Defender C & Defender D — take their positions in this order in a row from right to left. During the match, Defender A changes places with Defender C and then Defender C changes places with Defender D. Which defender is now at the right end of the row?",True,,,,,,
E4gpdONNflYRUb8Ux3gQ,Algebra,"[' 1,30,000', ' 1300', ' 80,000', ' 50,00,000']",0,False,False,False," A foundry has a fixed daily cost of Rs. 50,000 whenever it operates and a variable cost of Rs. 800, where Q is the daily production in tonnes. What is the cost of production in Rs. per tonne for a daily production of 100 tonnes?",True,,,,,,
E9ODYMDyWKx2pEO7l5W8,Algebra,"[' 25', ' 30', ' 20', ' 35']",1,False,False,False, A number of artists are called in a museum. 15 of them only do pencil sketching while 10 do both pencil sketching and oil painting. Only 5 do oil painting. How many artists were there in total?,True,,,,,,
F2Akv6YMNWR2BQr7nrwv,Fraction,"['8%', '10%', '80%', '92%']",0,False,False,False,"Sonam earns Nu. 15000 in a month. Her family uses one LPG cylinder a month. If one LPG cylinder costs Nu. 1200, what percentage of her monthly salary is spent for cooking?",True,,,,,,
Fgz8WcSdbji7N6hRzYTM,Fraction,"['-4', '-5', '-6', '-11']",0,False,False,False,If a/b=0.25. What is the negative value of the reciprocal of the fraction a/b?,True,,,,,,
Fo2FuWZEaPeClPd11Ay0,Logic,"[' Namgay is heaviest of all.', ' Karpo is heavier than Nagpo.', ' Dargay weighs less than Namgay.', ' Nagpo is the second lightest of all.']",3,False,False,False, Namgay is heavier than Dargay. Nagpo weighs less than Dargay. Karpo is heavier than Nagpo but lighter than Dargay. Which of the following statement is NOT true?,True,,,,,,
FsllysupfFAQau8T6gGZ,Algebra,"[' 13', '11.17', ' 15.87', nan]",1,False,False,False," Pema took six different amounts of time in minutes to finish a hundred meter distance from Monday to Saturday respectively as given below: 20, 15, 10, 8, 9, and 5. What is the arithmetic mean of the time he consumed?",True,,,,,,
GF8ouRZ8OqUHPJVZOygA,Algebra,"[' 5', ' 10', ' 15', ' 20']",1,False,False,False, A number when increased three times divided by five and increased by four gives back the number. Which is the number?,True,,,,,,
GagPDWkkmbWtDRpC6aeA,Algebra,"[' i>ii', ' i<ii', ' i =ii', "" Can't be determined.""]",1,False,False,False," If B>2, then compare i and ii: i) B-6 ii) B-3",True,,,,,,
GrGPPovtn596EoBtpeEi,Fraction,"[' 3.0', ' 2.5', ' 1.5', ' 1.25']",3,False,False,False," One percent of the people of country X are taller than 6 ft. Two percent of the people of country Y are taller than 6 ft. There are thrice as many people in country X as in country Y. Taking both countries together, what is the Fraction of people taller than 6 ft?",True,,,,,,
H3rqRxuBxDNO6PEHeqCR,Algebra,"[' 69 days', ' 100 days', ' 78 days', ' 96 days']",3,False,False,False," On working 12 hours a day, a work is completed in 16days by 24 men. How many days can the same work be done by 8 men considering they work only 6 hours a day?",True,,,,,,
H4e5ll8vxLHFEPQZ6lj6,Logic,"[' 1/28', ' 1/32', ' 1/36', ' 1/40']",1,False,False,False," Which number fulfils the pattern: half, one-fourth, one-eight, one- sixteenth...?",True,,,,,,
H72OZ3AMN7wbEbdtyqlL,Logic,"['He transports the duck. He returns to get the dog transports the dog but brings back the duck. He leaves the duck on shore and crosses with corn. He leaves corn with the dog and returns to get the duck.', 'He transports the dog. He returns to get the duck transports the duck but brings back the dog. He leaves the dog on shore and crosses with corn. He leaves corn with the duck and returns to get the dog.', 'He transports the corn. He returns to get the dog transports the dog but brings back corn. He leaves corn on shore and crosses with the duck. He leaves the duck with the dog and returns to get corn.', 'He ties the dog to a tree and transports the corn. He returns to get the duck']",0,False,False,False,"Karma needs to transport a dog, a duck and corn in a boat across a river. The boat is capable of transporting Karma and one of the other three at each crossing. Karma succeeded in crossing them all without letting the dog eat the duck or the duck eat the corn. Which of the following sequence of events made him possible in crossing them all",True,,,,,,
IMK2S5hLRX2oRhIep4Fv,Fraction,"['100%', '140%', '40%', '120%']",3,False,False,False,"Person X bought a car for Nu. 500,000. He sold it to Person Y at 20% profit. Person Y in turn sold the car to Person Z at 20% profit. What is Person Y’s profit in terms of Person X’s",True,,,,,,
Ir1jYbEAQc5t09vgHzj8,Logic,"[' 33333338', ' 333333338', ' 333338', ' 3333338']",3,False,False,False, The next number in the series is: 38 338 3338 33338 333338,True,,,,,,
JhQJad8i9hEpsGL7RRAg,Algebra,"[' S+5', ' S-5', ' S+4', ' S-3']",2,False,False,False," The price of a shirt increased 8 points, then decreased 13 points, and then increased 9 points. If the price of the shirt at first was S, which of the followings was the shirt's price after all the changes?",True,,,,,,
K3Q5dmq7Vadm1CdtgoyX,Fraction,"[' 250:250', ' 236:259', ' 235:250', ' 234:258']",3,False,False,False, There are 12 buses and 8 cars. Each car carries 3 passengers while each bus carries 20 passengers except 3 buses which carry 18 passengers each. The ratio between the number of passengers carried by bus to the total number of passengers is:,True,,,,,,
KuDxDjhKmkrniBLeUtGS,Algebra,"['15', '20', '22', '24']",3,False,False,False,The average age of a group of 5 students was 10. The average age increased by 4 years when 2 new students joined the group. What is the average age of the two new students who joined the group?,True,,,,,,
L7NXVTGtReHQ6Jl7kcWm,Probability,"[' 4', ' 5', ' 6', ' 7']",2,False,False,False, Drinking glasses are stacked forming a pyramid with one glass less in the successive layer. There are six glasses in the bottom layer. How many layers are there in total?,True,,,,,,
Lo5JRcyfFID9dYAtJqhx,Algebra,"['x-5', 'x-4', 'x+5', 'x+7']",3,False,False,False,"The price of a commodity increased 8 points, then decreased 13 points, and then increased 12 points. If the commodity price before the changes was x points, which of the following was the commodity price, in points, after the changes?",True,,,,,,
MEtRoQtm0FhApapbUcyh,Algebra,"[' 3m', ' 3m', ' m', ' n']",2,False,False,False," If m=5n and 15n=3b, b=?",True,,,,,,
MiJjP25mDOW1GRMoXnhM,Fraction,"['2.5', '3', '3.75', '3.5']",2,False,False,False,3 is 80% of what number?,True,,,,,,
NdTwNedUIHd6dHP31XPS,Fraction,"['200 units', '400 units', '300 units', '600 units']",3,False,False,False,"The weight of an object on Planet X is twice that of its weight on Earth and one third of its weight on Planet Y. If an object on Earth weighs 100 units, what is its weight on Planet Y?",True,,,,,,
NdxK7eOtYT0DOzTFsUyT,Fraction,"[' 100', ' 200', ' 300', ' 400']",3,False,False,False," When 100 is divided by half and multiplied by 2, the result is:",True,,,,,,
Ni4R60s8r4yDCCGxpnQy,Fraction,"[' More than one pie.', ' Exactly one pie', ' Three-sixth of a pie.', ' Five- seventh of a pie.']",1,False,False,False, Kinzang and Tashi were given an apple pie each. Kinzang ate 1/2 of the pie and Tashi ate 2/4. What portion of the apple pie did they eat all together?,True,,,,,,
O2WGS9n3eE2yVWV0I6m1,Algebra,"[' 12 hours', ' 10 hours', ' 7.5 hours', ' 7 hours']",3,False,False,False, You are drunk one night. The distance from the bar to your house is 10 kilometres. You walk 2 kilometres each hour and rest for half an hour. The trend continues till you reach home. How many hours do you take to reach home?,True,,,,,,
O5NzhrwT9vuoYrFjINkK,Algebra,"[' 30', ' 35', ' 40', ' 45']",1,False,False,False, Tashi felt bored in his math class. He had 20 pencils in his pencil box. He broke each pencil into half and threw five of the broken pencils. How many pencils are left with him?,True,,,,,,
Orw6SkrXvfyDeE0iVZfP,Logic,"['place', 'sport', 'country', 'river']",1,False,False,False,"If you unscramble the letters ‘AKBSLLTAEB’, you will get the name of a",True,,,,,,
OxIH1VhHM9hLzf7w0ViP,Fraction,"[' 60', ' 120', ' 180', ' 220']",1,False,False,False," If one-fourth of one-third of a number is 20, what is half of that number?",True,,,,,,
POJaW1wIFfRaPzsToBvP,Logic,"[' 27', ' 18', ' 45', ' None of the above']",1,False,False,False, All but 18 boys in a class of 45 students had to be terminated from school due to their unhealthy behaviour. How many are left in the class now?,True,,,,,,
Phx7X0YjKtsxfQwKyf6v,Logic,"['Mountain pass', 'Warrior', 'Flower', 'Country']",3,False,False,False,"If you unscramble the letters YKANE, you will get the name of a:",True,,,,,,
QO0O4yjZWwH1oTmuJB2p,Fraction,"[' Nu. 14,000', ' Nu. 20,000', ' Nu. 35,000', ' Nu. 28,000']",3,False,False,False," Drakpa pays 50% of his monthly income as house rent and 25% as his loan repayment. He spends Nu. 2,000 on food and drinks. He still saves Nu. 5,000 per month and keeps in his locker. What is Drakpa's monthly income?",True,,,,,,
QcbRNiikrnOvR7fTBzwM,Logic,"['All individuals produce at their maximum level', 'Only durable and best-quality products be produced', 'Only perishable and low cost products be produced', 'All economic activity generating more benefits than costs to individuals in the economy be']",0,False,False,False,Economic efficiency in an economy requires:,True,,,,,,
QhaUxKgDHj3sirJJMTHX,Logic,"[' 311132211212', ' 311222331312', ' 322331233112', ' 311311222112']",3,False,False,False, Look at the number patterns and study the sequence carefully. You must guess the next sequence rightly. 2 12 1112 3112 132112 1113122112,True,,,,,,
QqAlsnEgT322zwurw5AN,Fraction,"[' 20', ' 25', ' 30', ' 40']",1,False,False,False, Find the missing value of 20:4=X:5,True,,,,,,
QyyLIDk8GJmIUJle0YIe,Logic,"['c&b', 'd&b', 'a&d', 'a&c']",3,False,False,False,Identify two statements necessary to make the statement “A is south-west to C” true. a) A is two miles south of B. b) B is two miles east of D. c) C is two miles east of B. d) D is North-west of A. The two correct statements are:,True,,,,,,
RBhcCwvZKg0kIbfwYTSD,Logic,"[' First', ' Second', ' Third', ' Last']",1,False,False,False, Nima runs in a marathon competition organized in his district. He overtakes the second person. His position is:,True,,,,,,
RhOYozUrG3ui5Js8DUgO,Algebra,"[' 7:00 AM', ' 7:25 AM', ' 7:35 AM', ' 7:45 AM']",1,False,False,False," Peljor must reach his office at 9:00 AM but wants to get the maximum amount of sleep without being late. Assuming that he takes 50 minutes to cook and eat his breakfast, and 45 minutes to reach his office, at what time should he get up?",True,,,,,,
RicJt18gBcZYlBYViOuU,Logic,"['c', 'f', 'e', 'h']",3,False,False,False,What is the missing letter in this series: g ___ d i j d k l d,True,,,,,,
S5EwePnKJq4OFNpmODDU,Algebra,"['2X', '2.5X', '3.5X', '1.5X']",3,False,False,False,"Car parking along Norzin Lam is charged at flat X Ngultrum for any amount of time up to three hours, and 1/5 of X Ngultrum each hour or fraction of an hour after the first three hours. How much does it cost to park for 5 hours and 30 minutes?",True,,,,,,
St3pVCO0lSubpuWIfATK,Logic,"[' East', ' North', ' South-East', ' South-West']",3,False,False,False,Jamtsho is facing North-East. He jumps and turns 90° in the clockwise direction. From that position he turns 180° in the anticlockwise direction and then 90° in the same direction. Which direction is he facing at the end?,True,,,,,,
UMeg0uqCSUgnlviP9THo,Algebra,"[' 9 AM', ' 9 PM', ' 2 PM', ' 1 PM']",2,False,False,False, Tokyo is ahead of Bhutan by three hours. What will be the time in Tokyo if time in Bhutan is 11:00 AM?,True,,,,,,
Uc8KpEcuOLasosAl6ZDr,Logic,"[' Penjore', ' Choki', ' Lhamo', ' Dorji']",2,False,False,False," Penjore, Choki, Lhamo and Dorji speak many languages. Penjore and Choki speak Chinese while the others speak Arabic. Choki and Dorji speak Dzongkha. Everyone but Penjore speak Hindi. Who is the one speaking only Arabic and Hindi?",True,,,,,,
Uk14MnY1d3UamU9BkV48,Fraction,"[' 20%', ' 30%', ' 40%', ' 60%']",1,False,False,False," Merak is at a time where it is losing its language's significance. However, people over there also speak English. If 60% of the Merakpas (people of Merak) speak English and 70% of them speak their own language (Brami), what is the minimum Fraction of English speaking Merakpas that also speak Brami",True,,,,,,
Vn0C7eWRoHD0b2E1Pcpz,Algebra,"[' 5.7', ' 6.8', ' 7.2', ' More than 10']",2,False,False,False, Kinzang Choden can cross a river of length 600m on a boat in 5 minutes. What is her speed in kilometres per hour?,True,,,,,,
WgrsAFYOH51u66lWekqk,Logic,"[' 11 AM', ' 10 AM', ' 11 PM', ' 10 PM']",0,False,False,False, I am a time of the day. I am in Tokyo (Japan) when it is 7:30 AM in Delhi (India). Assume that Delhi time is half an hour behind the time in Thimphu (Bhutan). I am:,True,,,,,,
XDFkfKV4C1izBBjEFmHB,Logic,"['A CV is a brief and concise summary of a person’s skills experience and education while a Resume is a detail summary of a person’s educational qualification academic backgrounds publications presentations awards honours and other details.', 'A CV is a summary of a person’s educational and academic backgrounds etc used only in Europe and Asia while Resume is a summary of a person’s educational and academic backgrounds etc used only in United States of America.', 'A CV is a detail summary of a person’s educational qualification academic backgrounds publications presentations awards honours and other details while a Resume is a person’s brief and concise summary of skills and experience', 'A CV is a brief and concise summary of a person’s skills experience and resume provides the academic background of a candidate']",2,False,False,False,Which of the following best describes the difference between a person’s Curriculum Vitae (CV) and Resume?,True,,,,,,
XPexThPmsV0do94UdtWN,Logic,"['cultural development', 'sustainable development', 'economic development', 'future development']",1,False,False,False,Progress that meets the needs of the present generations without compromising the ability of future generations to meet their own needs is called:,True,,,,,,
ZHXTixfqoaI5F5pI11R8,Algebra,"[' 3 years', ' 4 years', ' 5 years', ' 7 years']",1,False,False,False, The sum of ages of five children born at the intervals of 3 years each is 50 years. What is the age of the youngest child?,True,,,,,,
ZKLIaDo88AiJ6LG9fNg9,Logic,"['q', 'r', 's', 'u']",0,False,False,False,What is the missing letter in this series: b e h k n ? t,True,,,,,,
ZTgKA2KWbqAI1sTTcC3a,Logic,"[' 33', ' 34', ' 35', ' 36']",1,False,False,False," What is the next number of the series 1, 2, 3, 5, 8, 13, 21.....?",True,,,,,,
ZvJKltRe7HcHzp5Gq04A,Logic,"['c & b', 'd & b', 'a & d', 'a & c']",3,False,False,False,Identify two statements necessary to make the statement “A is south-west to C” true. a. A is two miles south of B. b. B is two miles east of D. c. C is two miles east of B. d. D is North-west of A. The two correct statements are:,True,,,,,,
a0ybEBHQa4vp8FAhhmqo,Logic,"[' Sister', ' Brother', ' Sister in law', ' Daughter']",0,False,False,False," What is the relation of the lady with the one in the portrait if the man points to a portrait and says, ""Her mother is the only daughter of your mother”?",True,,,,,,
aIMMZOQZk2lX1zjjsaHu,Fraction,"['Sonam', 'Choden', 'Deki', 'Karma']",0,False,False,False,"In a family, Sonam weighs twice as much as Choden. Choden’s weight is 90% of Karma’s. Deki’s weight is 120% of Karma’s. Who is the heaviest in the family?",True,,,,,,
aY1vqhko3N4S3yhPqAeY,Fraction,"['1 : 2', '2 : 3', '3 : 4', '4 : 5']",1,False,False,False, Let B be the simple interest earned by certain amount for a certain rate in 6 years and D be the simple interest earned by the same amount for same rate in 9 years. The ratio of B to D is:,True,,,,,,
b6nQMdaePmaHb8SroXwJ,Logic,"[' 5 years', ' 10 years', ' 15 years', ' 20 years']",1,False,False,False, A is 2 years older than B while B is twice as old as C. The sum of their ages is 27. How old is B?,True,,,,,,
dqamxRLpJLpWaeTFaizn,Probability,"[' 50 plates and 28 cups', ' 45 plates and 33 cups', ' 57 plates and 21 cups', ' 60 plates and 18 cups']",3,False,False,False, For every 10 plates there were only 3 cups in a showcase. The sum of the cups and plates was 78. How many cups and plates were there?,True,,,,,,
dt4bNDEJSgATYJbc7gBs,Algebra,"[' 80', ' 85', ' 90', ' 95']",1,False,False,False," Lungten has an average mark of 90 in three subjects' tests. While appearing the fourth subject, he scored 70. The average mark of the four subjects is:",True,,,,,,
ergyns00ARASfLyB8uqm,Logic,"['106', '146', '144', '156']",2,False,False,False,"If: 2, 3 = 10 and 7, 2 = 63 and 6, 5 = 66 and 8 ,4 = 96 then 9 ,7 =…….",True,,,,,,
f556fRETxa8g9tPB9EfT,Algebra,"['30.3 hrs', '33.3 hrs', '43.0 hrs', '45.0 hrs']",1,False,False,False,"20 unskilled workers can finish a job in 50 hours. The same job can be finished by 25 skilled workers in 20 hours. If 10 unskilled and 10 skilled workers are employed, how long will they take to complete the same job?",True,,,,,,
f7I14X0OJgUZsMT8nQ8Y,Fraction,"[' 820', ' 680', ' 790', ' 930']",2,False,False,False, An umbrella seller had certain number of umbrellas. He sold 30% of his total umbrella yet is left with 553 more in hand. How many umbrellas did he have in total in the beginning?,True,,,,,,
fEDPTx5cqF6VRmFL8Ogh,Algebra,"['1', '2', '3', '4']",2,False,False,False,How many two digit numbers are multiples of both 7 and 4?,True,,,,,,
fSbqGoTOG9ge40oA0SbU,Logic,"['FALSE', 'TRUE', ' No basis', ' Uncertain']",1,False,False,False," Tandin is younger than Khando. Yeshey was born after Tandin. Yeshey is younger than Khando. If the first two statements are true, the third one is:",True,,,,,,
fdAULCWEGVEL25amNeTv,Logic,"['Penjor', 'Lhamo', 'Choki', 'Dorji']",0,False,False,False,"Penjore, Choki, Lhamo and Dorji speak many languages. Choki, Lhamo and Dorji speak Bumthap while Penjore,Choki and Lhamo speak Nepali. All of them know how to speak Dzongkha. Who only speaks Nepali and Dzongkha",True,,,,,,
frAOJ8j1rhls11dYMXbH,Probability,"['1/3', '1/6', '1/12', '1/24']",1,False,False,False,"If you roll a fair-sided die twice, what is the probability of getting a double?",True,,,,,,
fs17aTHFL3hKw1FI9DJw,Logic,"['Laptop', 'Headphones', 'The prized airpods', 'Mobile Phone']",2,False,False,False,Six electronic items are stacked in a cupboard divided into several racks. Mobile Phone is in the rack right above the Ipod and the Laptop is in the rack right below the prized airpods. The prized airpods is in the rack right above the Mobile Phone and the Ipod shares the rack with the Headphones. Rice Cooker is kept on the lowest rack. Which item is on the topmost,True,,,,,,
