Category,Choice__001,Choice__002,Choice__003,Choice__004,CorrectAnswer,IsAnswerCorrect,Marked,Question
Quantitative, 8, 12, 32, 24,0,FALSE,FALSE," I am sixteen years old, four times your age. When I am twice as your age, what will my age be?"
Quantitative, 10, 4, 5, 9,0,FALSE,FALSE, Choose the number which is 1/4 of half of 1/5 of 200.
Quantitative, Father and step-son, Husband and wife, Brother and sister, Father and daughter,0,FALSE,FALSE," Karpo has three children. Tashi and Pema are the two younger brothers of Zepa. However, Zepa is neither brother of Tashi nor Pema. What is the relation between Karpo and Zepa?"
Quantitative, 70, 50, 110, 90,0,FALSE,FALSE, Tshering owns 120 guitars. 25% of the total number of guitars is from Gibson Company. How many guitars with Tshering are from companies other than Gibson?
Quantitative, 5, 3, 4, 6,0,FALSE,FALSE, There were 20 questions in a multiple choice section in an examination paper. Phuntsho gets 10 marks for each correct answer and loses 5 marks for each wrong answer. He observes that he scored 155 out of 200. How many questions did he answer wrongly?
Quantitative, 274>96, 274< 96, 274 = 96, Can't be determined,0,FALSE,FALSE, The relation between 274 and 96 is:
Quantitative, 33333338, 333333338, 333338, 3333338,0,FALSE,FALSE, The next number in the series is: 38 338 3338 33338 333338
Quantitative," Nu. 14,000"," Nu. 20,000"," Nu. 35,000"," Nu. 28,000",0,FALSE,FALSE," Drakpa pays 50% of his monthly income as house rent and 25% as his loan repayment. He spends Nu. 2,000 on food and drinks. He still saves Nu. 5,000 per month and keeps in his locker. What is Drakpa's monthly income?"
Quantitative, More than one pie., Less than a pie., Three-sixth of a pie., Five- seventh of a pie.,0,FALSE,FALSE, Kinzang and Tashi were given an apple pie each. Kinzang ate 2/3 of the pie and Tashi ate 3/4. What portion of the apple pie did they eat all together?
Quantitative," When the object is immersed in the water, the water absorbs some of the weight of the object. Thus the weight of the object decreases."," When an object is immersed in water, some weight of the object is lost on the surface of the water thereby reducing the weight of the object in water."," When an object is immersed in water, the gravitational force of the earth acts in the opposite direction that is upward force."," When an object is immersed in water, it experiences an upward thrust and",0,FALSE,FALSE," When a heavy object is lifted under water, it is easier to lift than lifting the same object in the air. Which of the following provides the best reason for this?"
Quantitative, 10, 4, 100, 200,0,FALSE,FALSE," If M+N=20, and M and N are positive integers, what is the value of 10M+10N?"
Quantitative, S+5, S-5, S+4, S-3,0,FALSE,FALSE," The price of a shirt increased 8 points, then decreased 13 points, and then increased 9 points. If the price of the shirt at first was S, which of the followings was the shirt's price after all the changes?"
Quantitative, 7:00 AM, 7:25 AM, 7:35 AM, 7:45 AM,0,FALSE,FALSE," Peljor must reach his office at 9:00 AM. Assuming that he takes 50 minutes to cook and eat his breakfast, and 45 minutes to reach his school, at what time should he get up?"
Quantitative," 1,30,000", 1300," 80,000"," 50,00,000",0,FALSE,FALSE," A foundry has a fixed daily cost of Rs. 50,000 whenever it operates and a variable cost of Rs. 8000, where Q is the daily production in tonnes. What is the cost of production in Rs. per tonne for a daily production of 100 tonnes?"
Quantitative, Plant, Animal, Flower, Country,0,FALSE,FALSE," If you unscramble the letters ZILBRA, you will get the name of a:"
Quantitative, 69 days, 100 days, 78 days, 96 days,0,FALSE,FALSE," On working 12 hours a day, a work is completed in 16days by 24 men. How many days can the same work be done by 8 men considering they work only 6 hours a day?"
Quantitative, 0.36, 0.0036, 0.00027, 0.000060,0,FALSE,FALSE, What decimal of an hour is second?
Quantitative, 3 years, 4 years, 5 years, 7 years,0,FALSE,FALSE, The sum of ages of five children born at the intervals of 3 years each is 50 years. What is the age of the youngest child?
Quantitative, 11 AM, 10 AM, 11 PM, 10 PM,0,FALSE,FALSE, I am a time of the day. I am in Tokyo (Japan) when it is 7:30 AM in Delhi (India). Assume that Delhi time is half an hour behind the time in Thimphu (Bhutan). I am:
Quantitative, 20 males and 4 females, 15 males and 9 females, 18 males and 6 females, 19 males and 5 females,0,FALSE,FALSE, There are 24 persons attending a workshop in Gasa. For every 9 males there are 3 females. How many males and females are there attending the workshop?
Quantitative, 25, 30, 20, 35,0,FALSE,FALSE, A number of artists are called in a museum. 15 of them only do pencil sketching while 10 do both pencil sketching and oil painting. Only 5 do oil painting. How many artists were there in total?
Quantitative, 15%, 30%, 6.67%, 5.78%,0,FALSE,FALSE, 15 is what percent of 225?
Quantitative, 14, 12, 6, 7,0,FALSE,FALSE," There are 7 routes for a journey from point X to Y. In how many ways can a person go from X to Y and return, if for returning the same route is taken?"
Quantitative, 60, 120, 180, 220,0,FALSE,FALSE," If one-fourth of one-third of a number is 20, what is half of that number?"
Quantitative, Equal, Lower, Higher, Can't be determined,0,FALSE,FALSE, A number is increased from 30 to 40 and then decreased from 40 to 20. The percentage of increase is the percentage of decrease:
Quantitative, 30, 35, 40, 45,0,FALSE,FALSE, Tashi felt bored in his math class. He had 20 pencils in his pencil box. He broke each pencil into half and threw five of the broken pencils. How many pencils are left with him?
Quantitative, 3m, 3m, m, n,0,FALSE,FALSE," If m=5n and 15n=3b, b=?"
Quantitative, Rises, Falls, Remains unchanged, Overflows,0,FALSE,FALSE," An ice cube of good size is placed in a measuring cylinder having water up to 50ml mark and a portion of the ice cube is seen above the water level. When the ice cube completely melts, water level in the cylinder:"
Quantitative, 10 times, 150 times, 100 times, 200 times,0,FALSE,FALSE, How many times can you subtract 5 from 500?
Quantitative, 94, 100, 102, 104,0,FALSE,FALSE," If 2, 3=10 3,5=24 4, 7=44 5,9=70 6, 11=........."
Quantitative, 15%, 30%, 6.67%, 5.78%,0,FALSE,FALSE, 15 is what percent of 225?
Quantitative, 14, 12, 6, 7,0,FALSE,FALSE," There are 7 routes for a journey from point X to Y. In how many ways can a person go from X to Y and return, if for returning the same route is taken?"
Quantitative, 0.12 glass of water, 1.5 glass of water, 0.79 glass of water, 2.5 glass of water,0,FALSE,FALSE, Tashi is making a Thugpa (Porridge) in the morning on a Losar (New Year Festival). He also wants to make a tea. He needs 8/9 glass of water for Thugpa and 2/5 glass of water for tea. He has a glass of water. How much extra water is needed by him?
Quantitative, Father is 30 and daughter is 15, Father is 40 and daughter is 20, Father is 50 and daughter is 25, Father is 60 and daughter is 30,0,FALSE,FALSE," The father is double the age of his daughter. After 10 years, the ratio of their age will be 5:3. Find their present ages."
Quantitative, i>ii, i<ii, i =ii, Can't be determined.,0,FALSE,FALSE," If B>2, then compare i and ii: i) B-6 ii) B-3"
Quantitative, 8, 20, 24, 16,0,FALSE,FALSE," Write the next term of the series below: 1, 1, 2, 4, 3, 9, 4.........."
Quantitative, A is heavier than B, There were apples and cottons in the two bags, The bags were stolen by Kezang, Kezang was the thieve in above incidence,0,FALSE,FALSE," Kezang stole two bags from a shop in Thimphu. One bag, A, contains a kilogram of apple while the other, bag B, contains a kilogram of cotton. Which statement below is NOT true?"
Quantitative, Country, Ocean, Flower, Profession,0,FALSE,FALSE," If you unscramble the letters ETAHRCE, you will get the name of a:"
Quantitative, 12 hours, 10 hours, 7.5 hours, 7 hours,0,FALSE,FALSE, You are drunk one night. The distance from the bar to your house is 10 kilometres. You walk 2 kilometres each hour and rest for half an hour. The trend continues till you reach home. How many hours do you take to reach home?
Quantitative, Defender B, Defender C, Defender D, Defender A,0,FALSE,FALSE," Four defenders in a soccer match 'Defender A, Defender B, Defender C and Defender D' take their positions in this order in a row from right to left. During the match, Defender A changes places with Defender C. Defender C further changes his position with Defender B. Which Defender is now at the right end of the row?"
Quantitative, c & b., d & b., a & d., a &c.,0,FALSE,FALSE," Identify two statements necessary to make the statement ""A is south-west to C” correct. a. A is two miles south of B. b. B is two miles east of D. C. C is two miles east of B. d. Did north-west of A. The two correct statements are:"
Quantitative, 9 AM, 9 PM, 2 PM, 1 PM,0,FALSE,FALSE, Tokyo is ahead of Bhutan by three hours. What will be the time in Tokyo if time in Bhutan is 11:00 AM?
Quantitative,FALSE,TRUE, No basis, Uncertain,0,FALSE,FALSE," Tandin is younger than Khando. Yeshey was born after Tandin. Yeshey is younger than Khando. If the first two statements are true, the third one is:"
Quantitative, 5.7, 6.8, 7.2, More than 10,0,FALSE,FALSE, Kinzang Choden can cross a river of length 600m on a boat in 5 minutes. What is her speed in kilometres per hour?
Quantitative, 1 day, 2. 4 days, 1.4 days, 3 days,0,FALSE,FALSE," Wangpo alone can finish a certain work in 4 days. The same job is finished in 3 and 7 days by Tashi and Karma respectively. If they unite and work together, how many days will they take to complete the same work?"
Quantitative, 250:250, 236:259, 235:250, 234:258,0,FALSE,FALSE, There are 12 buses and 8 cars. Each car carries 3 passengers while each bus carries 20 passengers except 3 buses which carry 18 passengers each. The ratio between the number of passengers carried by bus to the total number of passengers is:
Quantitative, 180, 12, 270, 9,0,FALSE,FALSE, The hour-hand of a clock is at 3. It gradually moves and reaches 12. The angular measurement in degree of the movement of the hand is:
Quantitative, 20%, 30%, 40%, 60%,0,FALSE,FALSE," Merak is at a time where it is losing its language's significance. However, people over there also speak English. If 60% of the Merakpas (people of Merak) speak English and 70% of them speak their own language (Brami), what is the minimum percentage of English speaking Merakpas that also speak Brami"
Quantitative, 27, 18, 45, None of the above,0,FALSE,FALSE, All but 18 boys in a class of 45 students had to be terminated from school due to their unhealthy behaviour. How many are left in the class now?
Quantitative, 24, 36, 76, 96,0,FALSE,FALSE," If 10 men working 8 hours a day can complete a job in 12 days, how many days will 5 men working 2 hours a day take to complete the same job?"
Quantitative, 20 miles, 40 miles, 50 miles, 120 miles,0,FALSE,FALSE, Two bikes depart from a point at a road junction. One rides towards north at a speed of 40 miles per hour while the other does in the east at 30 miles per hour. What is the distance between them after 1 hour?
Quantitative, 5m, 6m, 7m, 15m,0,FALSE,FALSE, The volume of the cube is 216m3. Find the side of the cube.
Quantitative, Sister, Brother, Sister in law, Daughter,0,FALSE,FALSE," What is the relation of the lady with the one in the portrait if the man points to a portrait and says, ""Her mother is the only daughter of your mother”?"
Quantitative, 33, 34, 35, 36,0,FALSE,FALSE," What is the next number of the series 1, 2, 3, 5, 8, 13, 21.....?"
Quantitative, 40.12°C, 38.34°C, 37.75°C, 38.23˚C,0,FALSE,FALSE," The temperature in Jalandhar on August 14, 2014, was noted as 34°C at 9am, 39°C at 12pm in the afternoon, 37°C at 5pm and finally 41°C at 10pm at night. What was the average temperature in Jalandhar on the same day?"
Quantitative, 50 plates and 28 cups, 45 plates and 33 cups, 57 plates and 21 cups, 60 plates and 18 cups,0,FALSE,FALSE, For every 10 plates there were only 3 cups in a showcase. The sum of the cups and plates was 78. How many cups and plates were there?
Quantitative, 75, 80, 85, 90,0,FALSE,FALSE, A student attempted four papers of 100 marks each and in total he got 340 marks when adding all the marks obtained in four papers. The percentage of the obtained mark is:
Quantitative, 9 AM, 9 PM, 6 AM, 6 PM,0,FALSE,FALSE, I am a time of the day. I am in London (United Kingdom) when it is 3:00PM in Tokyo (Japan). Assume that Tokyo time is three hours ahead of Thimphu (Bhutan) time. I am....
Quantitative, Mobile Phone, IPod, Laptop, Micro Oven,0,FALSE,FALSE, Six electronic items are stacked in a cupboard divided into several racks. Mobile phone is in the rack right above the IPod and the laptop is in the rack right below the micro Oven. Micro Oven is in the rack above the Mobile Phone and the IPod shares the rack with the Headphones. Rice cooker is kept on the lowest rack. Which item is on the topmost rack?
Quantitative, 10, 15, 20, 25,0,FALSE,FALSE," There is a soccer league tournament in Trashigang and there are only five teams participating since it's the first time such tournament is being organized. If each team has to play two matches with all the other teams, how many matches will be played in total in the tournament?"
Quantitative, Nu. 40, Nu. 140, Nu. 60, Nu. 160,0,FALSE,FALSE, Nu. 100 shares are being sold at a premium of 60% by a company. The price to be paid by a subscriber is:
Quantitative, 500, 320, 210, 190,0,FALSE,FALSE," 30% of the 10,000 class twelve students didn't qualify anywhere. 3% of the qualified students were sent for ex-country scholarship. How many were sent for ex-country scholarship?"
Quantitative, 50 km/hr., 100 km/hr., 150 km/hr., 200 km/hr.,0,FALSE,FALSE, Rinzin is a very busy guy. He has to reach his office on time which is at a distance of 100 km which takes half an hour to reach. At what speed must he travel so that he reaches there exactly in 30 minutes?
Quantitative, East, North, South-East, South-West,0,FALSE,FALSE, Jamtsho is facing North-East. He jumps and turns 90° in the clockwise direction. From that position he turns 180° in the anticlockwise direction and then 90° in the same direction. Which direction is he facing at the end?
Quantitative, 3.0, 2.5, 1.5, 1.25,0,FALSE,FALSE," One percent of the people of country X are taller than 6 ft. Two percent of the people of country Y are taller than 6 ft. There are thrice as many people in country X as in country Y. Taking both countries together, what is the percentage of people taller than 6 ft?"
Quantitative, 20, 25, 30, 40,0,FALSE,FALSE, Find the missing value of 20:4=X:5
Quantitative, 820, 680, 790, 930,0,FALSE,FALSE, An umbrella seller had certain number of umbrellas. He sold 30% of his total umbrella yet is left with 553 more in hand. How many umbrellas did he have in total in the beginning?
Quantitative, 25 metres, 25.2 metres, 26.3 metres, 24.9 metres,0,FALSE,FALSE," After being dropped, a football always bounces 3/5th of its previous bounce height. After the first bounce it reaches a height of 70 metres. How high in metres will the ball reach in its third bounce?"
